GROUP_SET	GROUP_ID	GROUP_NAME	TEAM_ID	TEAM_ABBREVIATION	GP	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	PTS	PLUS_MINUS	GP_RANK	W_RANK	L_RANK	W_PCT_RANK	MIN_RANK	FGM_RANK	FGA_RANK	FG_PCT_RANK	FG3M_RANK	FG3A_RANK	FG3_PCT_RANK	FTM_RANK	FTA_RANK	FT_PCT_RANK	OREB_RANK	DREB_RANK	REB_RANK	AST_RANK	TOV_RANK	STL_RANK	BLK_RANK	BLKA_RANK	PF_RANK	PFD_RANK	PTS_RANK	PLUS_MINUS_RANK
Lineups	-203084-1626158-1628368-1628963-1630169-	H. Barnes - R. Holmes - D. Fox - M. Bagley III - T. Haliburton	1610612758	SAC	4	2	2	0.5	48.29666666666667	42	86	0.488	15	31	0.484	12	15	0.8	10	24	34	29	13.0	5	7	8	18	21	111	-18.0	641	712	7843	3975	118	113	124	3888	93	154	2343	226	225	2554	134	222	192	95	9252	259	78	9349	9271	109	120	9346
Lineups	-201145-203085-203932-203999-1628420-	J. Green - A. Rivers - A. Gordon - N. Jokic - M. Morris	1610612743	DEN	4	3	1	0.75	47.91166666666667	42	83	0.506	9	32	0.281	18	23	0.783	10	38	48	22	8.0	7	5	1	11	21	111	20.0	641	392	3321	3437	120	113	138	2600	228	149	3851	109	105	2695	134	106	113	141	9057	156	134	6530	9083	109	120	74
Lineups	-203200-1626167-1627734-1627747-1630537-	J. Holiday - M. Turner - D. Sabonis - C. LeVert - C. Duarte	1610612754	IND	6	2	4	0.333	44.085	43	85	0.506	11	33	0.333	14	19	0.737	9	25	34	20	11.0	9	3	4	16	16	111	1.0	315	712	9108	4999	139	109	128	2601	160	144	3007	176	153	3081	164	208	192	173	9192	99	298	9152	9241	173	120	3084
Lineups	-203500-203937-1628991-1629630-1630217-	S. Adams - K. Anderson - J. Jackson Jr. - J. Morant - D. Bane	1610612763	MEM	7	5	2	0.714	48.248333333333335	41	83	0.494	14	34	0.412	14	20	0.7	8	29	37	26	14.0	8	4	8	23	18	110	-22.0	222	149	7843	3537	119	122	138	3871	110	132	2576	176	135	3174	193	162	165	111	9270	128	185	9349	9321	143	124	9379
Lineups	-202684-203084-1627741-1629002-1630169-	T. Thompson - H. Barnes - B. Hield - C. Metu - T. Haliburton	1610612758	SAC	4	1	3	0.25	53.36666666666667	36	96	0.375	19	40	0.475	18	22	0.818	11	28	39	21	16.0	7	5	7	19	25	109	-18.0	641	1598	8797	5299	102	156	107	5236	73	100	2351	109	112	2525	111	174	151	156	9304	156	134	9329	9288	85	125	9346
Lineups	-1628476-1628977-1630180-1630199-1630568-	D. Walton Jr. - H. Diallo - S. Bey - C. Stanley - L. Garza	1610612765	DET	3	1	2	0.333	42.431666666666665	38	76	0.5	9	22	0.409	23	26	0.885	14	31	45	19	18.0	13	7	5	18	20	108	32.0	1018	1598	7843	4999	147	138	157	2604	228	255	2584	72	86	2248	91	144	124	192	9329	55	78	9249	9271	115	126	29
Lineups	-201976-1626157-1627736-1630162-1630183-	P. Beverley - K. Towns - M. Beasley - A. Edwards - J. McDaniels	1610612750	MIN	14	8	6	0.571	43.5	36	78	0.462	15	36	0.417	20	25	0.8	10	27	37	21	11.0	7	7	5	18	18	107	0.0	40	46	9336	3934	140	156	151	4074	93	117	2555	91	94	2554	134	183	165	156	9192	156	78	9249	9271	143	127	3784
Lineups	-200746-201142-201935-201988-1628971-	L. Aldridge - K. Durant - J. Harden - P. Mills - B. Brown	1610612751	BKN	11	6	5	0.545	42.848333333333336	42	86	0.488	12	27	0.444	11	15	0.733	11	29	40	26	15.0	8	7	5	19	16	107	-1.0	71	108	9265	3969	145	113	124	3888	148	184	2408	256	225	3088	111	162	146	111	9291	128	78	9249	9288	173	127	5171
Lineups	-1626168-1628977-1630165-1630180-1630595-	T. Lyles - H. Diallo - K. Hayes - S. Bey - C. Cunningham	1610612765	DET	5	1	4	0.2	47.416666666666664	43	92	0.467	16	43	0.372	4	8	0.5	7	25	32	31	12.0	9	1	4	18	13	106	-23.0	434	1598	9108	5394	127	109	110	4022	85	90	2901	1006	579	3615	231	208	211	84	9220	99	1025	9152	9271	236	129	9385
Lineups	-203471-203935-1626196-1628369-1629057-	D. Schroder - M. Smart - J. Richardson - J. Tatum - R. Williams III	1610612738	BOS	7	2	5	0.286	39.2	39	74	0.527	10	19	0.526	18	22	0.818	11	20	31	21	9.0	13	4	4	9	17	106	39.0	222	712	9265	5280	174	132	163	2506	188	316	1311	109	112	2525	111	281	221	156	9122	55	185	9152	8955	160	129	13
Lineups	-203468-203469-1626204-1629014-1629642-	C. McCollum - C. Zeller - L. Nance Jr. - A. Simons - N. Little	1610612757	POR	16	8	8	0.5	51.265	38	96	0.396	14	46	0.304	15	22	0.682	17	36	53	16	14.0	9	6	4	19	20	105	-10.0	20	46	9389	3975	109	138	107	5133	110	79	3710	151	112	3209	64	112	95	247	9270	99	98	9152	9288	115	131	9060
Lineups	-203471-203935-1628369-1629057-1629684-	D. Schroder - M. Smart - J. Tatum - R. Williams III - G. Williams	1610612738	BOS	11	7	4	0.636	44.71666666666667	37	80	0.463	14	30	0.467	17	20	0.85	6	33	39	19	15.0	4	2	3	19	18	105	-11.0	71	72	9108	3850	137	148	144	4069	110	168	2363	117	135	2369	299	134	151	192	9291	359	498	8943	9288	143	131	9131
Lineups	-201959-202689-203095-203944-1629628-	T. Gibson - K. Walker - E. Fournier - J. Randle - R. Barrett	1610612752	NYK	10	6	4	0.6	42.925	38	82	0.463	21	44	0.477	8	10	0.8	7	29	36	26	8.0	7	6	4	20	17	105	1.0	96	108	9108	3871	144	138	141	4065	63	85	2349	403	430	2554	231	162	171	111	9057	156	98	9152	9305	160	131	3084
Lineups	-1629633-1629681-1629723-1630214-1630583-	J. Culver - K. Tillie - J. Konchar - X. Tillman - S. Aldama	1610612763	MEM	4	2	2	0.5	42.083333333333336	43	86	0.5	15	36	0.417	4	12	0.333	13	29	42	32	8.0	10	6	2	17	8	105	10.0	641	712	7843	3975	151	109	124	2604	93	117	2555	1006	319	4484	98	162	136	82	9057	85	98	8368	9256	483	131	357
Lineups	-201568-1628381-1628989-1629027-1629629-	D. Gallinari - J. Collins - K. Huerter - T. Young - C. Reddish	1610612737	ATL	13	5	8	0.385	37.645	39	69	0.565	10	25	0.4	17	20	0.85	7	25	32	17	7.0	5	4	3	12	20	105	17.0	51	149	9389	4980	185	132	183	2206	188	213	2599	117	135	2369	231	208	211	227	8971	259	185	8943	9132	115	131	107
Lineups	-1626162-1628970-1628998-1629667-1630163-	K. Oubre Jr. - M. Bridges - C. Martin - J. McDaniels - L. Ball	1610612766	CHA	8	3	5	0.375	36.78333333333333	42	70	0.6	14	26	0.538	7	9	0.778	6	19	25	29	7.0	5	3	3	21	12	105	1.0	165	392	9265	4981	193	113	178	1721	110	193	1303	486	488	2697	299	309	300	95	8971	259	298	8943	9313	264	131	3084
