GROUP_SET	GROUP_ID	GROUP_NAME	TEAM_ID	TEAM_ABBREVIATION	GP	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	PTS	PLUS_MINUS	GP_RANK	W_RANK	L_RANK	W_PCT_RANK	MIN_RANK	FGM_RANK	FGA_RANK	FG_PCT_RANK	FG3M_RANK	FG3A_RANK	FG3_PCT_RANK	FTM_RANK	FTA_RANK	FT_PCT_RANK	OREB_RANK	DREB_RANK	REB_RANK	AST_RANK	TOV_RANK	STL_RANK	BLK_RANK	BLKA_RANK	PF_RANK	PFD_RANK	PTS_RANK	PLUS_MINUS_RANK
Lineups	-202331-202339-202694-202704-1627826-	P. George - E. Bledsoe - M. Morris Sr. - R. Jackson - I. Zubac	1610612746	LAC	6	2	4	0.333	62.166666666666664	51	111	0.459	14	38	0.368	26	26	1.0	13	43	56	26	20.0	9	5	3	31	29	142	-12.0	413	928	10752	5986	108	110	109	4895	141	136	3453	69	114	1	121	111	110	139	11066	132	174	10552	11087	83	109	10862
Lineups	-203081-203496-203994-1626181-1629014-	D. Lillard - R. Covington - J. Nurkic - N. Powell - A. Simons	1610612757	POR	16	8	8	0.5	61.43333333333333	53	104	0.51	10	37	0.27	31	40	0.775	4	45	49	27	12.0	6	9	3	20	32	147	11.0	36	65	11114	4704	109	104	120	3068	237	141	4634	53	56	3299	667	104	136	133	10916	252	67	10552	11013	74	100	371
Lineups	-202709-1626168-1628402-1628977-1630180-	C. Joseph - T. Lyles - F. Jackson - H. Diallo - S. Bey	1610612765	DET	6	1	5	0.167	59.25833333333333	42	104	0.404	21	50	0.42	25	33	0.758	8	45	53	26	18.0	10	5	4	28	35	130	-2.0	413	2027	10937	6500	110	149	120	5697	79	92	3021	85	73	3328	247	104	122	139	11053	110	174	10822	11073	66	127	6956
Lineups	-1626156-1626157-1627736-1630162-1630183-	D. Russell - K. Towns - M. Beasley - A. Edwards - J. McDaniels	1610612750	MIN	17	10	7	0.588	59.068333333333335	50	115	0.435	18	49	0.367	22	26	0.846	18	37	55	28	16.0	15	6	6	18	24	140	18.0	27	23	11087	4641	111	117	105	5269	96	95	3465	105	114	2839	71	138	113	126	11018	54	130	11013	10970	111	114	125
Lineups	-200782-202710-1628389-1629130-1629639-	P. Tucker - J. Butler - B. Adebayo - D. Robinson - T. Herro	1610612748	MIA	13	8	5	0.615	59.015	33	93	0.355	12	41	0.293	26	29	0.897	8	40	48	20	19.0	8	1	6	31	25	104	-17.0	67	65	10937	4558	112	214	140	6529	181	124	4481	69	96	2644	247	123	142	219	11061	163	1268	11013	11087	102	174	11044
Lineups	-201939-203490-203952-1626172-1629673-	S. Curry - O. Porter Jr. - A. Wiggins - K. Looney - J. Poole	1610612744	GSW	4	4	0	1.0	58.98	58	113	0.513	22	55	0.4	16	22	0.727	16	42	58	39	13.0	10	9	6	17	24	154	39.0	850	299	1	1	113	94	107	3046	70	80	3088	169	149	3730	87	115	106	82	10956	110	67	11013	10953	111	94	17
Lineups	-201143-203471-1627759-1628369-1629057-	A. Horford - D. Schroder - J. Brown - J. Tatum - R. Williams III	1610612738	BOS	6	3	3	0.5	58.763333333333335	56	105	0.533	13	35	0.371	13	16	0.813	16	46	62	35	16.0	6	5	3	24	20	138	21.0	413	513	10344	4704	114	96	115	2888	161	158	3443	240	258	3058	87	103	98	95	11018	252	174	10552	11048	149	116	87
Lineups	-202711-203497-203903-1626220-1628378-	B. Bogdanovic - R. Gobert - J. Clarkson - R. O'Neale - D. Mitchell	1610612762	UTA	22	14	8	0.636	58.685	50	112	0.446	16	59	0.271	23	36	0.639	20	45	65	27	16.0	12	9	3	21	29	139	14.0	10	8	11114	4531	115	117	108	5069	114	73	4632	96	65	4184	61	104	87	133	11018	83	67	10552	11027	83	115	220
Lineups	-201142-201933-201935-201988-1628971-	K. Durant - B. Griffin - J. Harden - P. Mills - B. Brown	1610612751	BKN	7	4	3	0.571	58.68333333333333	46	105	0.438	15	43	0.349	36	40	0.9	8	48	56	36	13.0	9	4	6	11	36	143	16.0	296	299	10344	4645	116	132	115	5227	122	117	3554	44	56	2623	247	94	110	93	10956	132	235	11013	10728	61	107	164
Lineups	-203084-203458-1628368-1628963-1630169-	H. Barnes - A. Len - D. Fox - M. Bagley III - T. Haliburton	1610612758	SAC	8	2	6	0.25	58.47	45	119	0.378	8	33	0.242	25	30	0.833	21	38	59	20	8.0	10	3	10	12	25	123	-9.0	224	928	11038	6350	117	137	101	6247	333	180	5048	85	91	2868	55	132	104	219	10702	110	369	11098	10790	102	137	10573
