player1	player2	player3	player4	player5
Jarrett Allen	Collin Sexton	Darius Garland	Dean Wade	Evan Mobley
Patrick Beverley	D'Angelo Russell	Karl-Anthony Towns	Malik Beasley	Jarred Vanderbilt
D'Angelo Russell	Karl-Anthony Towns	Josh Okogie	Anthony Edwards	Jaden McDaniels
Cory Joseph	Trey Lyles	Josh Jackson	Frank Jackson	Hamidou Diallo
Chris Paul	Jae Crowder	Mikal Bridges	Deandre Ayton	Cameron Johnson
Tobias Harris	Andre Drummond	Seth Curry	Georges Niang	Tyrese Maxey
Jeff Green	Aaron Gordon	Nikola Jokic	Monte Morris	Davon Reed
Davis Bertans	Spencer Dinwiddie	Montrezl Harrell	Aaron Holiday	Deni Avdija
Patrick Beverley	Malik Beasley	Jarred Vanderbilt	Naz Reid	Anthony Edwards
Will Barton	JaMychal Green	Aaron Gordon	Nikola Jokic	Monte Morris
LeBron James	Russell Westbrook	Avery Bradley	Anthony Davis	Talen Horton-Tucker
D'Angelo Russell	Karl-Anthony Towns	Taurean Prince	Jarred Vanderbilt	Anthony Edwards
Thaddeus Young	Dejounte Murray	Lonnie Walker IV	Keldon Johnson	Devin Vassell
Ricky Rubio	Cedi Osman	Jarrett Allen	Darius Garland	Evan Mobley
LaMarcus Aldridge	Kevin Durant	James Harden	Patty Mills	Joe Harris
Stephen Curry	Draymond Green	Otto Porter Jr.	Kevon Looney	Gary Payton II
DeMar DeRozan	Nikola Vucevic	Alex Caruso	Lonzo Ball	Javonte Green
Draymond Green	Otto Porter Jr.	Andrew Wiggins	Gary Payton II	Jordan Poole
Kyle Lowry	P.J. Tucker	Jimmy Butler	Max Strus	Omer Yurtseven
James Harden	Patty Mills	DeAndre' Bembry	Bruce Brown	Nicolas Claxton
P.J. Tucker	Jimmy Butler	Bam Adebayo	Duncan Robinson	Tyler Herro
Mike Conley	Bojan Bogdanovic	Rudy Gobert	Joe Ingles	Royce O'Neale
Tristan Thompson	Buddy Hield	Marvin Bagley III	Tyrese Haliburton	Davion Mitchell
Nikola Vucevic	Zach LaVine	Troy Brown Jr.	Coby White	Ayo Dosunmu
Stephen Curry	Nemanja Bjelica	Otto Porter Jr.	Gary Payton II	Juan Toscano-Anderson
Dejounte Murray	Jakob Poeltl	Derrick White	Keita Bates-Diop	Keldon Johnson
Jeff Green	Austin Rivers	Zeke Nnaji	Facundo Campazzo	Nah'Shon Hyland
Bradley Beal	Kentavious Caldwell-Pope	Raul Neto	Montrezl Harrell	Kyle Kuzma
Khem Birch	Fred VanVleet	OG Anunoby	Gary Trent Jr.	Scottie Barnes
Kyle Anderson	Jaren Jackson Jr.	Ja Morant	Desmond Bane	Ziaire Williams
Cory Joseph	Jerami Grant	Saddiq Bey	Isaiah Stewart	Cade Cunningham
Dejounte Murray	Jakob Poeltl	Keita Bates-Diop	Lonnie Walker IV	Joshua Primo
Kentavious Caldwell-Pope	Spencer Dinwiddie	Kyle Kuzma	Aaron Holiday	Daniel Gafford
Dewayne Dedmon	Caleb Martin	Gabe Vincent	Max Strus	Tyler Herro
Kemba Walker	Alec Burks	Evan Fournier	Julius Randle	Mitchell Robinson
Tobias Harris	Seth Curry	Joel Embiid	Furkan Korkmaz	Tyrese Maxey
JaVale McGee	Cameron Payne	Abdel Nader	Landry Shamet	Cameron Johnson
Gordon Hayward	Ish Smith	Kelly Oubre Jr.	Cody Martin	P.J. Washington
Kentavious Caldwell-Pope	Spencer Dinwiddie	Kyle Kuzma	Daniel Gafford	Corey Kispert
Kevin Durant	Blake Griffin	James Harden	Patty Mills	Joe Harris
Lauri Markkanen	Jarrett Allen	Darius Garland	Dean Wade	Isaac Okoro
Bradley Beal	Kentavious Caldwell-Pope	Montrezl Harrell	Kyle Kuzma	Aaron Holiday
D.J. Augustin	Garrison Mathews	KJ Martin	Josh Christopher	Alperen Sengun
Stephen Curry	Draymond Green	Andrew Wiggins	Juan Toscano-Anderson	Jordan Poole
Danny Green	Andre Drummond	Seth Curry	Furkan Korkmaz	Tyrese Maxey
Mike Conley	Bojan Bogdanovic	Rudy Gobert	Joe Ingles	Donovan Mitchell
Derrick Rose	Evan Fournier	Julius Randle	Mitchell Robinson	RJ Barrett
Alec Burks	Evan Fournier	Nerlens Noel	Julius Randle	RJ Barrett
Rudy Gay	Bojan Bogdanovic	Jordan Clarkson	Royce O'Neale	Donovan Mitchell
Bradley Beal	Kentavious Caldwell-Pope	Kyle Kuzma	Aaron Holiday	Daniel Gafford
Jrue Holiday	Giannis Antetokounmpo	Bobby Portis	Pat Connaughton	Grayson Allen
Nicolas Batum	Paul George	Reggie Jackson	Ivica Zubac	Terance Mann
DeMar DeRozan	Nikola Vucevic	Zach LaVine	Lonzo Ball	Coby White
Ish Smith	Kelly Oubre Jr.	Miles Bridges	Cody Martin	P.J. Washington
Harrison Barnes	Alex Len	Buddy Hield	De'Aaron Fox	Davion Mitchell
Gordon Hayward	Mason Plumlee	Terry Rozier	Miles Bridges	Cody Martin
Andre Drummond	Georges Niang	Furkan Korkmaz	Matisse Thybulle	Tyrese Maxey
Al Horford	Dennis Schroder	Marcus Smart	Josh Richardson	Jayson Tatum
Marcus Smart	Jaylen Brown	Jayson Tatum	Robert Williams III	Grant Williams
Gordon Hayward	Kelly Oubre Jr.	Miles Bridges	Cody Martin	P.J. Washington
Carmelo Anthony	Russell Westbrook	Avery Bradley	Anthony Davis	Malik Monk
Jonas Valanciunas	Tomas Satoransky	Brandon Ingram	Josh Hart	Nickeil Alexander-Walker
Danny Green	Tobias Harris	Seth Curry	Joel Embiid	Furkan Korkmaz
Hassan Whiteside	Bojan Bogdanovic	Jordan Clarkson	Royce O'Neale	Trent Forrest
Tim Hardaway Jr.	Dorian Finney-Smith	Maxi Kleber	Jalen Brunson	Luka Doncic
Tristan Thompson	Harrison Barnes	Maurice Harkless	Buddy Hield	Tyrese Haliburton
DeMar DeRozan	Zach LaVine	Derrick Jones Jr.	Alex Caruso	Lonzo Ball
Harrison Barnes	De'Aaron Fox	Marvin Bagley III	Chimezie Metu	Tyrese Haliburton
LeBron James	Russell Westbrook	Avery Bradley	Anthony Davis	Kent Bazemore
Lou Williams	Danilo Gallinari	Delon Wright	John Collins	Cam Reddish
LeBron James	Carmelo Anthony	Russell Westbrook	Anthony Davis	Malik Monk
LaMarcus Aldridge	Kevin Durant	Patty Mills	DeAndre' Bembry	Jevon Carter
LaMarcus Aldridge	Kevin Durant	James Harden	James Johnson	Patty Mills
Rudy Gay	Rudy Gobert	Jordan Clarkson	Joe Ingles	Donovan Mitchell
Steven Adams	Jaren Jackson Jr.	Ja Morant	John Konchar	Desmond Bane
Kevin Love	Ricky Rubio	Cedi Osman	Darius Garland	Evan Mobley
Reggie Bullock	Dwight Powell	Dorian Finney-Smith	Maxi Kleber	Jalen Brunson
Enes Kanter	Dennis Schroder	Josh Richardson	Jayson Tatum	Grant Williams
Stephen Curry	Draymond Green	Andrew Wiggins	Kevon Looney	Gary Payton II
Kyle Lowry	P.J. Tucker	Caleb Martin	Max Strus	Omer Yurtseven
Wesley Matthews	Khris Middleton	Giannis Antetokounmpo	Bobby Portis	Grayson Allen
Terrence Ross	Wendell Carter Jr.	Chuma Okeke	Cole Anthony	Franz Wagner
Steven Adams	Kyle Anderson	De'Anthony Melton	Ja Morant	Desmond Bane
Ricky Rubio	Ed Davis	Darius Garland	Dean Wade	Isaac Okoro
Robin Lopez	Gary Harris	Chuma Okeke	Cole Anthony	Franz Wagner
JaVale McGee	Elfrid Payton	Cameron Payne	Landry Shamet	Cameron Johnson
Paul George	Marcus Morris Sr.	Reggie Jackson	Ivica Zubac	Luke Kennard
Mason Plumlee	Kelly Oubre Jr.	Terry Rozier	Miles Bridges	LaMelo Ball
Kemba Walker	Alec Burks	Evan Fournier	Nerlens Noel	Julius Randle
Patrick Beverley	Karl-Anthony Towns	Taurean Prince	Jarred Vanderbilt	Anthony Edwards
Carmelo Anthony	Dwight Howard	Russell Westbrook	Wayne Ellington	Malik Monk
Dwight Powell	Dorian Finney-Smith	Frank Ntilikina	Sterling Brown	Jalen Brunson
Terrence Ross	Gary Harris	Wendell Carter Jr.	Cole Anthony	Franz Wagner
Reggie Bullock	Tim Hardaway Jr.	Dwight Powell	Dorian Finney-Smith	Luka Doncic
Shai Gilgeous-Alexander	Darius Bazley	Luguentz Dort	Jeremiah Robinson-Earl	Tre Mann
Robert Covington	Jusuf Nurkic	Norman Powell	Anfernee Simons	Nassir Little
Kyle Anderson	Jaren Jackson Jr.	De'Anthony Melton	Ja Morant	Desmond Bane
Mason Plumlee	Terry Rozier	Miles Bridges	Cody Martin	LaMelo Ball
Eric Gordon	Christian Wood	Daniel Theis	Jalen Green	Jae'Sean Tate
Russell Westbrook	DeAndre Jordan	Avery Bradley	Anthony Davis	Kent Bazemore
Nicolas Batum	Eric Bledsoe	Luke Kennard	Isaiah Hartenstein	Terance Mann
Christian Wood	Kevin Porter Jr.	Jalen Green	Jae'Sean Tate	Alperen Sengun
Cory Joseph	Kelly Olynyk	Jerami Grant	Josh Jackson	Saddiq Bey
Eric Gordon	Christian Wood	David Nwaba	Kevin Porter Jr.	Jalen Green
Gordon Hayward	Kelly Oubre Jr.	Miles Bridges	Jalen McDaniels	LaMelo Ball
James Harden	James Johnson	Patty Mills	DeAndre' Bembry	Nicolas Claxton
Robin Lopez	Gary Harris	Chuma Okeke	Hassani Gravett	Franz Wagner
Justin Holiday	T.J. McConnell	Myles Turner	Domantas Sabonis	Chris Duarte
Marcus Smart	Jaylen Brown	Jayson Tatum	Robert Williams III	Romeo Langford
Jeff Green	Aaron Gordon	Nikola Jokic	Monte Morris	Facundo Campazzo
Stephen Curry	Otto Porter Jr.	Andrew Wiggins	Kevon Looney	Gary Payton II
Reggie Jackson	Justise Winslow	Luke Kennard	Isaiah Hartenstein	Terance Mann
Doug McDermott	Jakob Poeltl	Derrick White	Keita Bates-Diop	Keldon Johnson
DeMar DeRozan	Zach LaVine	Alex Caruso	Lonzo Ball	Javonte Green
Rudy Gay	Hassan Whiteside	Bojan Bogdanovic	Jordan Clarkson	Donovan Mitchell
